"timestamp","name","type","value","date"
"2019-08-24 18:48:09.000","search.partners.agoda.com","cname","hkg.www.agoda.com","201908"
"2019-08-24 18:48:40.000","secure.agoda.com","cname","secure.agoda.com.edgekey.net","201908"
"2019-08-24 04:02:18.000","ams.reservation.agoda.com","a","91.206.233.76","201908"
"2019-08-24 04:03:48.000","ams.secure.agoda.com","a","203.160.137.24","201908"
"2019-08-24 04:15:45.000","ams.www.agoda.com","a","203.160.137.21","201908"
"2019-08-24 10:19:26.000","images.agoda.com","cname","hkgimages.agoda.com","201908"
"2019-08-24 10:22:03.000","images.nyc.agoda.com","a","103.6.182.20","201908"
"2019-08-24 10:18:57.000","images.partners.agoda.com","a","103.6.182.21","201908"
"2019-08-24 18:51:28.000","sandbox.hq.xml.agoda.com","a","103.6.182.34","201908"
"2019-08-24 18:44:26.000","sandbox.xml.agoda.com","a","103.6.182.34","201908"
"2019-08-24 18:50:11.000","sandbox.ycs.agoda.com","a","103.6.182.34","201908"
"2019-08-24 04:36:15.000","bangkokair.partners.agoda.com","a","103.6.182.21","201908"
"2019-08-24 06:19:56.000","connect.agoda.com","a","203.160.137.140","201908"
"2019-08-24 07:26:28.000","dns01.agoda.com","a","156.154.64.42","201908"
"2019-08-24 07:23:24.000","dns02.agoda.com","a","156.154.65.42","201908"
"2019-08-24 07:27:32.000","dns03.agoda.com","a","156.154.66.42","201908"
"2019-08-24 07:22:41.000","dns04.agoda.com","a","156.154.67.42","201908"
"2019-08-24 07:25:14.000","dns05.agoda.com","a","156.154.68.42","201908"
"2019-08-24 07:22:39.000","dns06.agoda.com","a","156.154.69.42","201908"
"2019-08-24 10:26:31.000","img.agoda.com","cname","img.agoda.net","201908"
"2019-08-24 10:19:16.000","implementation.teamwork.agoda.com","a","103.6.182.36","201908"
"2019-08-24 22:12:56.000","www.monlvilleresort.comwww.agoda.com","a","103.6.182.20","201908"
"2019-08-24 05:51:36.000","cdn-ycs.agoda.com","a","103.6.182.20","201908"
"2019-08-24 04:04:49.000","api.agoda.com","cname","api.agoda.com.edgekey.net","201908"
